id,objectid,parentid,title,display_template,format,type,object_location,image_small,image_thumb,credits,caption,represents,uri,accession_number,actual_weight,architect,architect_evidence,architectural_order,assoc_building,attributed_by,beazley_number,building_type,category,ceramic_phase,collection,collection_history,commentary,comparanda,condit,condition_description,context,context_mod,culture,date_description,date_for_sort,decoration_description,denomination,description,die_axis,dimensions,documentary_references,donor,end_date,end_mod,entered_by,essay_number,essay_text,exploration,extent,findspot,findspot_mod,form_style_description,graffiti,history,human_name,image,images,in_group,in_whole,inscription,inscription_bibliography,inscriptions,issuing_authority,location,material,material_description,name,object_function,obverse_legend,obverse_type,original,original_or_copy,other_bibliography,other_notes,painter,painter_mod,period,period_for_sort,periods,perseus_version,physical,placement,plan,potter,potter_mod,primary_citation,region,relief,reverse_legend,reverse_type,scale,scale_for_sort,sculptor,sculptor_mod,sculpture_type,see_also,shape,shape_description,site_type,sources_used,start_date,start_mod,style,subject_description,summary,technique,technique_description,objtype,unitary_date,unitary_mod,ware
1990.30.0001,i1990300001,"aa_1,aa_2,aa_4,aa_5,aa_3876","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^50,/0/default.jpg","Photograph by Raymond V. Schoder, S.J., courtesy of Bolchazy-Carducci Publishers","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple","aa_1,aa_2,aa_4,aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1990.30.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa_5,aa_5,,"Aegina, Temple of Aphaia",compound_object,compound_object,record,http://iiif.perseus.tufts.edu/iiif/3/1987.08.3002/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.08.3002/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.08.3002/full/^50,/0/default.jpg",,,,,,,,,,,,,Temple,,,,,,,,,"Aegina, Sanctuary of Aphaia",,,,-490.0,,,,,<P>Width of the stylobate 28.8 x 13.8 m (42.5 Doric feet); axial spacing of columns: 2.6 m. (slightly less on the sides).</P>,,,-480,ca.,,,,,,,,,,"<P>An early temple of ca. 570 BC was probably built on the site; fragments of this structure were built into the terrace wall. The temple was decorated with sculptures in the two pediments. An early set (East Pediment 1 and West Pediment 1), carved in the early fifth century, was discarded for uncertain reasons (possibly political) and set up in the sanctuary flanking the altar. The later set (East Pediment 2 and West Pediment 2) was carved shortly afterwards, the east pediment slightly [...]",,"1987.08.3002,1987.09.2169,1987.09.2170,1987.09.2171,1987.09.2172,1987.09.2173,1987.09.2174,1987.09.2175,1987.09.2176,1987.09.2177,1989.01.0019,1989.01.0077,1989.01.0079,1989.01.0080,1990.13.1026,1990.13.1027,1990.13.1028,1990.13.1030,1990.13.1031,1990.13.1032,1990.13.1039,1990.13.1045,1990.13.1046,1990.13.1047,1990.13.1048,1990.13.1049,1990.13.1050,1990.13.1051,1990.21.0001,1990.21.0002,1990.21.0006,1990.21.0010,1990.21.0011,1990.21.0012,1990.21.0013,1990.21.0014,1990.21.0015,1990.21.0016,1990.21.0017,1990.21.0018,1990.21.0019,1990.21.0020,1990.21.0021,1990.21.0022,1990.21.0023,1990.21.0024,1990.21.0026,1990.21.0027,1990.21.0028,1990.21.0029,1990.21.0030,1990.21.0031,1990.21.0032,1990.21.0033,1990.21.0034,1990.21.0035,1990.21.0036,1990.21.0037,1990.21.0040,1990.21.0041,1990.21.0042,1990.21.0043,1990.21.0045,1990.21.0046,1990.21.0047,1990.21.0048,1990.21.0049,1990.21.0050,1990.21.0051,1990.21.0052,1990.21.0053,1990.21.0054,1990.21.0056,1990.21.0057,1990.21.0058,1990.21.0059,1990.21.0060,1990.21.0061,1990.21.0062,1990.21.0063,1990.21.0065,1990.21.0066,1990.21.0067,1990.21.0069,1990.21.0070,1990.21.0071,1990.21.0073,1990.21.0074,1990.21.0075,1990.21.0076,1990.21.0077,1990.21.0078,1990.21.0080,1990.21.0082,1990.21.0087,1990.21.0088,1990.21.0089,1990.21.0091,1990.21.0093,1990.21.0095,1990.21.0097,1990.21.0098,1990.21.0099,1990.21.0100,1990.21.0101,1990.21.0102,1990.21.0103,1990.21.0104,1990.21.0105,1990.21.0106,1990.21.0107,1990.21.0108,1990.21.0109,1990.21.0113,1990.21.0114,1990.21.0115,1990.21.0116,1990.21.0117,1990.21.0118,1990.21.0119,1990.30.0001,1990.33.0011b,1990.33.0617a","1987.08.3002,1987.09.2169,1987.09.2170,1987.09.2171,1987.09.2172,1987.09.2173,1987.09.2174,1987.09.2175,1987.09.2176,1987.09.2177,1989.01.0019,1989.01.0077,1989.01.0079,1989.01.0080,1990.13.1026,1990.13.1027,1990.13.1028,1990.13.1030,1990.13.1031,1990.13.1032,1990.13.1039,1990.13.1045,1990.13.1046,1990.13.1047,1990.13.1048,1990.13.1049,1990.13.1050,1990.13.1051,1990.21.0001,1990.21.0002,1990.21.0006,1990.21.0010,1990.21.0011,1990.21.0012,1990.21.0013,1990.21.0014,1990.21.0015,1990.21.0016,1990.21.0017,1990.21.0018,1990.21.0019,1990.21.0020,1990.21.0021,1990.21.0022,1990.21.0023,1990.21.0024,1990.21.0026,1990.21.0027,1990.21.0028,1990.21.0029,1990.21.0030,1990.21.0031,1990.21.0032,1990.21.0033,1990.21.0034,1990.21.0035,1990.21.0036,1990.21.0037,1990.21.0040,1990.21.0041,1990.21.0042,1990.21.0043,1990.21.0045,1990.21.0046,1990.21.0047,1990.21.0048,1990.21.0049,1990.21.0050,1990.21.0051,1990.21.0052,1990.21.0053,1990.21.0054,1990.21.0056,1990.21.0057,1990.21.0058,1990.21.0059,1990.21.0060,1990.21.0061,1990.21.0062,1990.21.0063,1990.21.0065,1990.21.0066,1990.21.0067,1990.21.0069,1990.21.0070,1990.21.0071,1990.21.0073,1990.21.0074,1990.21.0075,1990.21.0076,1990.21.0077,1990.21.0078,1990.21.0080,1990.21.0082,1990.21.0087,1990.21.0088,1990.21.0089,1990.21.0091,1990.21.0093,1990.21.0095,1990.21.0097,1990.21.0098,1990.21.0099,1990.21.0100,1990.21.0101,1990.21.0102,1990.21.0103,1990.21.0104,1990.21.0105,1990.21.0106,1990.21.0107,1990.21.0108,1990.21.0109,1990.21.0113,1990.21.0114,1990.21.0115,1990.21.0116,1990.21.0117,1990.21.0118,1990.21.0119,1990.30.0001,1990.33.0011b,1990.33.0617a",,,,,,,Perseus,,,"Aegina, Temple of Aphaia",,,,,,"<P><bibl>Dinsmoor 1975, 105-107</bibl>; <bibl>PECS, 19-21</bibl>; <bibl>Ohly 1978, 10</bibl></P>",,,,Archaic,25. Archaic,,1.0,,,"<P>Doric peripteral temple, 6 x 12 columns. A 3 stepped sloping ramp provided access at the east end. The temple had a pronaos and an opisthodomos, both distyle in antis and a cella with 2-story colonnade and gallery. A ladder led to the upper gallery, which was perhaps used to store votives. All but 3 column shafts were monolithic; the three drum-built columns were perhaps left open during construction to allow access to the interior of the temple.</P>",,,,Saronic Gulf,,,,,,,,,"<rs type=""building"">Aegina, Altar of Aphaia</rs><rs type=""sculpture"">Aegina East Pediment 2</rs><rs type=""sculpture"">Aegina West Pediment 2</rs>",,,,,-500,ca.,,,Peripteral temple; in the Sanctuary of Aphaia.,,,Building,,,
1987.08.3002,i1987083002,"aa_5,aa_3876","Ramp and front of temple from E, Aegina, Sanctuary (Temple) of Aphaia,",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.08.3002/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.08.3002/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.08.3002/full/^50,/0/default.jpg",Photograph courtesy of Thomas Martin and Ivy S. Sun,"Ramp and front of temple from E, Aegina, Sanctuary (Temple) of Aphaia,","aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1987.08.3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.09.2169,i1987092169,"aa_5,aa_3876","Distant view of temple from SE, Aegina, Sanctuary of Aphaia, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.09.2169/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.09.2169/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.09.2169/full/^50,/0/default.jpg","Photograph courtesy of the Department of Archaeology, Boston University, Saul S. Weinberg Collection","Distant view of temple from SE, Aegina, Sanctuary of Aphaia, Temple of Aphaia","aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1987.09.2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.09.2170,i1987092170,"aa_5,aa_3876","Temple from SE, Aegina, Sanctuary of Aphaia, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.09.2170/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.09.2170/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.09.2170/full/^50,/0/default.jpg","Photograph courtesy of the Department of Archaeology, Boston University, Saul S. Weinberg Collection","Temple from SE, Aegina, Sanctuary of Aphaia, Temple of Aphaia","aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1987.09.2170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.09.2171,i1987092171,"aa_5,aa_3876","Front of temple from E, Aegina, Sanctuary of Aphaia, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.09.2171/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.09.2171/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.09.2171/full/^50,/0/default.jpg","Photograph courtesy of the Department of Archaeology, Boston University, Saul S. Weinberg Collection","Front of temple from E, Aegina, Sanctuary of Aphaia, Temple of Aphaia","aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1987.09.2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.09.2172,i1987092172,"aa_5,aa_3876","East end of temple from S, Aegina, Sanctuary of Aphaia, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.09.2172/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.09.2172/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.09.2172/full/^50,/0/default.jpg","Photograph courtesy of the Department of Archaeology, Boston University, Saul S. Weinberg Collection","East end of temple from S, Aegina, Sanctuary of Aphaia, Temple of Aphaia","aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1987.09.2172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.09.2173,i1987092173,aa_5,"East half of S colonnade from S, Aegina, Sanctuary of Aphaia, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.09.2173/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.09.2173/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.09.2173/full/^50,/0/default.jpg","Photograph courtesy of the Department of Archaeology, Boston University, Saul S. Weinberg Collection","East half of S colonnade from S, Aegina, Sanctuary of Aphaia, Temple of Aphaia",aa_5,https://iiif.perseus.tufts.edu/iiif/3/1987.09.2173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.09.2174,i1987092174,"aa_5,aa_3876",Temple from SW,image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1987.09.2174/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1987.09.2174/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1987.09.2174/full/^50,/0/default.jpg","Photograph courtesy of the Department of Archaeology, Boston University, Saul S. Weinberg Collection",Temple from SW,"aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1987.09.2174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.30.0001,i1990300001,"aa_1,aa_2,aa_4,aa_5,aa_3876","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.30.0001/full/^50,/0/default.jpg","Photograph by Raymond V. Schoder, S.J., courtesy of Bolchazy-Carducci Publishers","Aerial view of sanctuary of Aphaia, Aegina, Altar of Aphaia, Amphipoleion, Sanctuary Walls, Temple","aa_1,aa_2,aa_4,aa_5,aa_3876",https://iiif.perseus.tufts.edu/iiif/3/1990.30.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.33.0011b,i1990330011b,aa_5,"Plan, Aegina, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.33.0011b/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.33.0011b/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.33.0011b/full/^50,/0/default.jpg","copyright C. H. Smith 1989, based on Weber (artist), in D. Ohly 1978 29 fig. 15","Plan, Aegina, Temple of Aphaia",aa_5,https://iiif.perseus.tufts.edu/iiif/3/1990.33.0011b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.33.0617a,i1990330617a,aa_5,"Capital profiles scaled to give uniform abacus height outer colonnade, pronaos, lower inner colonnade, upper inner colonnade, Aegina, Temple of Aphaia",image,image/jpeg,Image;StillImage,http://iiif.perseus.tufts.edu/iiif/3/1990.33.0617a/full/max/0/default.jpg,"http://iiif.perseus.tufts.edu/iiif/3/1990.33.0617a/full/^800,/0/default.jpg","http://iiif.perseus.tufts.edu/iiif/3/1990.33.0617a/full/^50,/0/default.jpg","copyright D.N. Smith 1989, drawn by R. Mattison based on A. Furtwngler, Aegina, in Coulton 1977 106 fig. 43","Capital profiles scaled to give uniform abacus height outer colonnade, pronaos, lower inner colonnade, upper inner colonnade, Aegina, Temple of Aphaia",aa_5,https://iiif.perseus.tufts.edu/iiif/3/1990.33.0617a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
